step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
26000,36000,172.30266523361206,150.89725956791546,497,3.5598669783212245,115.01092900289223,0.0,0.0,0.0,0.09842465323380538,-2510.15625,50.203125,0.0,1.0,1.9635007716715336,nan,nan,nan,nan,0.0,nan,nan,nan,nan
28000,39000,186.6475796699524,150.01533933369083,538,3.987868985859677,107.00233100214973,0.0,0.0,0.0,0.09842465323380538,-2467.96875,49.359375,0.0,1.0,1.8705749195069075,nan,nan,nan,nan,0.0,nan,nan,nan,nan
30000,42000,201.13871669769287,149.15079748216425,578,3.8843840011395514,112.03419000958093,0.0,0.0,0.0,0.09842465323380538,-2429.6875,48.59375,0.0,1.0,1.930310963653028,nan,nan,nan,nan,0.0,nan,nan,nan,nan
32000,45000,215.4524610042572,148.52464367704624,619,10.514628986129537,105.57274901657365,0.0,0.0,0.0,0.09842465323380538,-2498.4375,49.96875,0.0,1.0,2.0373610109090805,nan,nan,nan,nan,0.0,nan,nan,nan,nan
34000,48000,229.49917149543762,148.14868297106645,659,3.5899030044674873,112.79087699949741,0.0,0.0,0.0,0.09842465323380538,-2522.65625,50.453125,0.0,1.0,2.0804235339164734,nan,nan,nan,nan,0.0,nan,nan,nan,nan
36000,51000,243.87997674942017,147.61359452231287,699,7.014723989414051,107.89049800951034,0.0,0.0,0.0,0.09842465323380538,-2453.90625,49.078125,0.0,1.0,1.867744091898203,nan,nan,nan,nan,0.0,nan,nan,nan,nan
38000,54000,257.90843987464905,147.3391100286175,740,3.628990991273895,109.0745679975953,0.0,0.0,0.0,0.09842465323380538,-2466.40625,49.328125,0.0,1.0,1.9362608008086681,nan,nan,nan,nan,0.0,nan,nan,nan,nan
40000,57000,271.9698255062103,147.07513940397266,780,6.629123003222048,106.74416497931816,0.0,0.0,0.0,0.09842465323380538,-2492.96875,49.859375,0.0,1.0,1.98111342638731,nan,nan,nan,nan,0.0,nan,nan,nan,nan
42000,60000,286.47292733192444,146.61071254156008,818,7.0225220115389675,104.54585799016058,0.0,0.0,0.0,0.09842465323380538,-2509.375,50.1875,0.0,1.0,1.917201747186482,nan,nan,nan,nan,0.0,nan,nan,nan,nan
44000,63000,300.58908104896545,146.3792358872559,859,8.648868999443948,111.2304060079623,0.0,0.0,0.0,0.09842465323380538,-2527.34375,50.546875,0.0,1.0,1.886923998594284,nan,nan,nan,nan,0.0,nan,nan,nan,nan
46000,66000,315.22789096832275,145.92617378714925,900,3.559640987077728,108.51173201808706,0.0,0.0,0.0,0.09842465323380538,-2528.125,50.5625,0.0,1.0,2.0030297050252557,nan,nan,nan,nan,0.0,nan,nan,nan,nan
48000,69000,329.390722990036,145.72359404746194,942,7.053433015244082,105.62477001803927,0.0,0.0,0.0,0.09842465323380538,-2440.625,48.8125,0.0,1.0,1.9638751344755292,nan,nan,nan,nan,0.0,nan,nan,nan,nan
50000,72000,343.4643294811249,145.57552475838034,981,3.5756400029640645,113.37888400885276,0.0,0.0,0.0,0.09842465323380538,-2475.0,49.5,0.0,1.0,1.8781581008806825,nan,nan,nan,nan,0.0,nan,nan,nan,nan
