step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
26000,36000,141.7958836555481,183.36216348254118,496,6.976795993978158,85.70853801211342,0.0,0.0,0.0,0.09842465323380538,-2535.15625,50.703125,0.0,1.0,1.8848701156675816,nan,nan,nan,nan,0.0,nan,nan,nan,nan
28000,39000,153.75640177726746,182.10623867590883,538,3.5156340163666755,86.39292098814622,0.0,0.0,0.0,0.09842465323380538,-2475.0,49.5,0.0,1.0,1.9308509519323707,nan,nan,nan,nan,0.0,nan,nan,nan,nan
30000,42000,165.56527471542358,181.19741625509644,578,3.569999011233449,91.51584500796162,0.0,0.0,0.0,0.09842465323380538,-2432.03125,48.640625,0.0,1.0,1.8889690861105919,nan,nan,nan,nan,0.0,nan,nan,nan,nan
32000,45000,177.75245261192322,180.02564538371672,618,3.5528969892766327,85.47223897767253,0.0,0.0,0.0,0.09842465323380538,-2432.03125,48.640625,0.0,1.0,2.0082182604819536,nan,nan,nan,nan,0.0,nan,nan,nan,nan
34000,48000,189.78593707084656,179.1492063361254,660,3.551077999873087,92.78266702312976,0.0,0.0,0.0,0.09842465323380538,-2494.53125,49.890625,0.0,1.0,2.104105057194829,nan,nan,nan,nan,0.0,nan,nan,nan,nan
36000,51000,201.86870789527893,178.33373173753753,699,3.509734000544995,92.86263500689529,0.0,0.0,0.0,0.09842465323380538,-2439.0625,48.78125,0.0,1.0,1.873690559528768,nan,nan,nan,nan,0.0,nan,nan,nan,nan
38000,54000,213.54616332054138,177.9474723831047,742,3.5591539926826954,86.4095900033135,0.0,0.0,0.0,0.09842465323380538,-2452.34375,49.046875,0.0,1.0,1.8951375177130103,nan,nan,nan,nan,0.0,nan,nan,nan,nan
40000,57000,225.38193917274475,177.47651008247766,779,6.97533498168923,92.73036400554702,0.0,0.0,0.0,0.09842465323380538,-2498.4375,49.96875,0.0,1.0,1.9222157774493098,nan,nan,nan,nan,0.0,nan,nan,nan,nan
42000,60000,237.5282266139984,176.82109027089746,819,3.45971598289907,92.93972500017844,0.0,0.0,0.0,0.09842465323380538,-2498.4375,49.96875,0.0,1.0,1.964239108376205,nan,nan,nan,nan,0.0,nan,nan,nan,nan
44000,63000,249.27241206169128,176.5137170057577,860,3.6431439802981913,88.71528500458226,0.0,0.0,0.0,0.09842465323380538,-2449.21875,48.984375,0.0,1.0,1.9016812751069665,nan,nan,nan,nan,0.0,nan,nan,nan,nan
46000,66000,261.1173827648163,176.16598141775714,902,6.854123988887295,89.56277399556711,0.0,0.0,0.0,0.09842465323380538,-2492.1875,49.84375,0.0,1.0,1.985934087075293,nan,nan,nan,nan,0.0,nan,nan,nan,nan
48000,69000,272.8543701171875,175.91801802325764,944,6.56878700829111,88.54309999151155,0.0,0.0,0.0,0.09842465323380538,-2473.4375,49.46875,0.0,1.0,2.0502745462581515,nan,nan,nan,nan,0.0,nan,nan,nan,nan
50000,72000,284.64418601989746,175.6579001283548,981,3.6607639922294766,93.23285598657094,0.0,0.0,0.0,0.09842465323380538,-2400.0,48.0,0.0,1.0,1.9179236311465502,nan,nan,nan,nan,0.0,nan,nan,nan,nan
